,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
59943,Baker County,OR,Baker County Total Migration-US and Foreign,OR,620,15777,15777000,1819,2018,2019,outflow,Baker County total migration-1819,"Baker County Total Migration-US and Foreign, OR"
59948,Baker County,OR,Union County,OR,71,1476,1476000,1819,2018,2019,outflow,Baker County-Union County-OR-1819,"Union County, OR"
59949,Baker County,OR,Ada County,ID,31,964,964000,1819,2018,2019,outflow,Baker County-Ada County-ID-1819,"Ada County, ID"
59957,Benton County,OR,Benton County Total Migration-US and Foreign,OR,5479,178209,178209000,1819,2018,2019,outflow,Benton County total migration-1819,"Benton County Total Migration-US and Foreign, OR"
59962,Benton County,OR,Linn County,OR,1220,37122,37122000,1819,2018,2019,outflow,Benton County-Linn County-OR-1819,"Linn County, OR"
59963,Benton County,OR,Multnomah County,OR,371,11908,11908000,1819,2018,2019,outflow,Benton County-Multnomah County-OR-1819,"Multnomah County, OR"
59964,Benton County,OR,Washington County,OR,314,9747,9747000,1819,2018,2019,outflow,Benton County-Washington County-OR-1819,"Washington County, OR"
59965,Benton County,OR,Lane County,OR,356,9651,9651000,1819,2018,2019,outflow,Benton County-Lane County-OR-1819,"Lane County, OR"
59966,Benton County,OR,Marion County,OR,245,8643,8643000,1819,2018,2019,outflow,Benton County-Marion County-OR-1819,"Marion County, OR"
59967,Benton County,OR,Clackamas County,OR,139,4570,4570000,1819,2018,2019,outflow,Benton County-Clackamas County-OR-1819,"Clackamas County, OR"
59968,Benton County,OR,Deschutes County,OR,135,5556,5556000,1819,2018,2019,outflow,Benton County-Deschutes County-OR-1819,"Deschutes County, OR"
59969,Benton County,OR,Polk County,OR,188,4888,4888000,1819,2018,2019,outflow,Benton County-Polk County-OR-1819,"Polk County, OR"
59970,Benton County,OR,King County,WA,100,3635,3635000,1819,2018,2019,outflow,Benton County-King County-WA-1819,"King County, WA"
59971,Benton County,OR,Maricopa County,AZ,83,3264,3264000,1819,2018,2019,outflow,Benton County-Maricopa County-AZ-1819,"Maricopa County, AZ"
59972,Benton County,OR,Lincoln County,OR,79,3683,3683000,1819,2018,2019,outflow,Benton County-Lincoln County-OR-1819,"Lincoln County, OR"
59973,Benton County,OR,Los Angeles County,CA,55,1035,1035000,1819,2018,2019,outflow,Benton County-Los Angeles County-CA-1819,"Los Angeles County, CA"
59974,Benton County,OR,Clark County,WA,65,2213,2213000,1819,2018,2019,outflow,Benton County-Clark County-WA-1819,"Clark County, WA"
59975,Benton County,OR,Jackson County,OR,57,1433,1433000,1819,2018,2019,outflow,Benton County-Jackson County-OR-1819,"Jackson County, OR"
59976,Benton County,OR,San Diego County,CA,48,1854,1854000,1819,2018,2019,outflow,Benton County-San Diego County-CA-1819,"San Diego County, CA"
59977,Benton County,OR,Santa Clara County,CA,54,2857,2857000,1819,2018,2019,outflow,Benton County-Santa Clara County-CA-1819,"Santa Clara County, CA"
59978,Benton County,OR,Douglas County,OR,42,784,784000,1819,2018,2019,outflow,Benton County-Douglas County-OR-1819,"Douglas County, OR"
59979,Benton County,OR,Yamhill County,OR,44,1815,1815000,1819,2018,2019,outflow,Benton County-Yamhill County-OR-1819,"Yamhill County, OR"
59987,Clackamas County,OR,Clackamas County Total Migration-US and Foreign,OR,22601,978069,978069000,1819,2018,2019,outflow,Clackamas County total migration-1819,"Clackamas County Total Migration-US and Foreign, OR"
59993,Clackamas County,OR,Multnomah County,OR,6267,230740,230740000,1819,2018,2019,outflow,Clackamas County-Multnomah County-OR-1819,"Multnomah County, OR"
59994,Clackamas County,OR,Washington County,OR,3205,161719,161719000,1819,2018,2019,outflow,Clackamas County-Washington County-OR-1819,"Washington County, OR"
59995,Clackamas County,OR,Marion County,OR,1709,49746,49746000,1819,2018,2019,outflow,Clackamas County-Marion County-OR-1819,"Marion County, OR"
59996,Clackamas County,OR,Clark County,WA,1486,72858,72858000,1819,2018,2019,outflow,Clackamas County-Clark County-WA-1819,"Clark County, WA"
59997,Clackamas County,OR,Deschutes County,OR,529,40583,40583000,1819,2018,2019,outflow,Clackamas County-Deschutes County-OR-1819,"Deschutes County, OR"
59998,Clackamas County,OR,Maricopa County,AZ,443,23857,23857000,1819,2018,2019,outflow,Clackamas County-Maricopa County-AZ-1819,"Maricopa County, AZ"
59999,Clackamas County,OR,Yamhill County,OR,395,15122,15122000,1819,2018,2019,outflow,Clackamas County-Yamhill County-OR-1819,"Yamhill County, OR"
60000,Clackamas County,OR,King County,WA,266,14342,14342000,1819,2018,2019,outflow,Clackamas County-King County-WA-1819,"King County, WA"
60001,Clackamas County,OR,Lane County,OR,283,8892,8892000,1819,2018,2019,outflow,Clackamas County-Lane County-OR-1819,"Lane County, OR"
60002,Clackamas County,OR,Los Angeles County,CA,207,8968,8968000,1819,2018,2019,outflow,Clackamas County-Los Angeles County-CA-1819,"Los Angeles County, CA"
60003,Clackamas County,OR,Columbia County,OR,172,5230,5230000,1819,2018,2019,outflow,Clackamas County-Columbia County-OR-1819,"Columbia County, OR"
60004,Clackamas County,OR,Linn County,OR,154,4172,4172000,1819,2018,2019,outflow,Clackamas County-Linn County-OR-1819,"Linn County, OR"
60005,Clackamas County,OR,Polk County,OR,144,4167,4167000,1819,2018,2019,outflow,Clackamas County-Polk County-OR-1819,"Polk County, OR"
60006,Clackamas County,OR,San Diego County,CA,134,8216,8216000,1819,2018,2019,outflow,Clackamas County-San Diego County-CA-1819,"San Diego County, CA"
60007,Clackamas County,OR,Benton County,OR,114,4272,4272000,1819,2018,2019,outflow,Clackamas County-Benton County-OR-1819,"Benton County, OR"
60008,Clackamas County,OR,Clark County,NV,126,18016,18016000,1819,2018,2019,outflow,Clackamas County-Clark County-NV-1819,"Clark County, NV"
60009,Clackamas County,OR,Jackson County,OR,113,4840,4840000,1819,2018,2019,outflow,Clackamas County-Jackson County-OR-1819,"Jackson County, OR"
60010,Clackamas County,OR,Pierce County,WA,126,6069,6069000,1819,2018,2019,outflow,Clackamas County-Pierce County-WA-1819,"Pierce County, WA"
60011,Clackamas County,OR,Lincoln County,OR,129,4545,4545000,1819,2018,2019,outflow,Clackamas County-Lincoln County-OR-1819,"Lincoln County, OR"
60012,Clackamas County,OR,Ada County,ID,105,4999,4999000,1819,2018,2019,outflow,Clackamas County-Ada County-ID-1819,"Ada County, ID"
60013,Clackamas County,OR,Cowlitz County,WA,123,3237,3237000,1819,2018,2019,outflow,Clackamas County-Cowlitz County-WA-1819,"Cowlitz County, WA"
60014,Clackamas County,OR,Crook County,OR,112,5166,5166000,1819,2018,2019,outflow,Clackamas County-Crook County-OR-1819,"Crook County, OR"
60015,Clackamas County,OR,Snohomish County,WA,117,4607,4607000,1819,2018,2019,outflow,Clackamas County-Snohomish County-WA-1819,"Snohomish County, WA"
60016,Clackamas County,OR,Clatsop County,OR,94,5573,5573000,1819,2018,2019,outflow,Clackamas County-Clatsop County-OR-1819,"Clatsop County, OR"
60017,Clackamas County,OR,Orange County,CA,96,6118,6118000,1819,2018,2019,outflow,Clackamas County-Orange County-CA-1819,"Orange County, CA"
60018,Clackamas County,OR,Tillamook County,OR,96,3558,3558000,1819,2018,2019,outflow,Clackamas County-Tillamook County-OR-1819,"Tillamook County, OR"
60019,Clackamas County,OR,Spokane County,WA,101,2684,2684000,1819,2018,2019,outflow,Clackamas County-Spokane County-WA-1819,"Spokane County, WA"
60020,Clackamas County,OR,Riverside County,CA,98,7271,7271000,1819,2018,2019,outflow,Clackamas County-Riverside County-CA-1819,"Riverside County, CA"
60021,Clackamas County,OR,Salt Lake County,UT,89,2406,2406000,1819,2018,2019,outflow,Clackamas County-Salt Lake County-UT-1819,"Salt Lake County, UT"
60022,Clackamas County,OR,Wasco County,OR,82,2514,2514000,1819,2018,2019,outflow,Clackamas County-Wasco County-OR-1819,"Wasco County, OR"
60023,Clackamas County,OR,Klamath County,OR,67,2716,2716000,1819,2018,2019,outflow,Clackamas County-Klamath County-OR-1819,"Klamath County, OR"
60024,Clackamas County,OR,Santa Clara County,CA,58,2974,2974000,1819,2018,2019,outflow,Clackamas County-Santa Clara County-CA-1819,"Santa Clara County, CA"
60025,Clackamas County,OR,Douglas County,OR,64,2434,2434000,1819,2018,2019,outflow,Clackamas County-Douglas County-OR-1819,"Douglas County, OR"
60026,Clackamas County,OR,Honolulu County,HI,58,1725,1725000,1819,2018,2019,outflow,Clackamas County-Honolulu County-HI-1819,"Honolulu County, HI"
60027,Clackamas County,OR,Jefferson County,OR,72,2776,2776000,1819,2018,2019,outflow,Clackamas County-Jefferson County-OR-1819,"Jefferson County, OR"
60028,Clackamas County,OR,Benton County,WA,64,1654,1654000,1819,2018,2019,outflow,Clackamas County-Benton County-WA-1819,"Benton County, WA"
60029,Clackamas County,OR,Pima County,AZ,57,2981,2981000,1819,2018,2019,outflow,Clackamas County-Pima County-AZ-1819,"Pima County, AZ"
60030,Clackamas County,OR,Sacramento County,CA,50,2056,2056000,1819,2018,2019,outflow,Clackamas County-Sacramento County-CA-1819,"Sacramento County, CA"
60031,Clackamas County,OR,Canyon County,ID,80,2027,2027000,1819,2018,2019,outflow,Clackamas County-Canyon County-ID-1819,"Canyon County, ID"
60032,Clackamas County,OR,Thurston County,WA,61,2164,2164000,1819,2018,2019,outflow,Clackamas County-Thurston County-WA-1819,"Thurston County, WA"
60033,Clackamas County,OR,Umatilla County,OR,46,1788,1788000,1819,2018,2019,outflow,Clackamas County-Umatilla County-OR-1819,"Umatilla County, OR"
60034,Clackamas County,OR,San Francisco County,CA,37,1994,1994000,1819,2018,2019,outflow,Clackamas County-San Francisco County-CA-1819,"San Francisco County, CA"
60035,Clackamas County,OR,Kootenai County,ID,51,978,978000,1819,2018,2019,outflow,Clackamas County-Kootenai County-ID-1819,"Kootenai County, ID"
60036,Clackamas County,OR,Denver County,CO,37,1221,1221000,1819,2018,2019,outflow,Clackamas County-Denver County-CO-1819,"Denver County, CO"
60037,Clackamas County,OR,Utah County,UT,64,1989,1989000,1819,2018,2019,outflow,Clackamas County-Utah County-UT-1819,"Utah County, UT"
60038,Clackamas County,OR,Coos County,OR,47,1485,1485000,1819,2018,2019,outflow,Clackamas County-Coos County-OR-1819,"Coos County, OR"
60039,Clackamas County,OR,Washoe County,NV,34,3233,3233000,1819,2018,2019,outflow,Clackamas County-Washoe County-NV-1819,"Washoe County, NV"
60040,Clackamas County,OR,Bexar County,TX,43,1009,1009000,1819,2018,2019,outflow,Clackamas County-Bexar County-TX-1819,"Bexar County, TX"
60041,Clackamas County,OR,Travis County,TX,44,5198,5198000,1819,2018,2019,outflow,Clackamas County-Travis County-TX-1819,"Travis County, TX"
60042,Clackamas County,OR,Hood River County,OR,54,1492,1492000,1819,2018,2019,outflow,Clackamas County-Hood River County-OR-1819,"Hood River County, OR"
60043,Clackamas County,OR,Alameda County,CA,47,2942,2942000,1819,2018,2019,outflow,Clackamas County-Alameda County-CA-1819,"Alameda County, CA"
60044,Clackamas County,OR,San Bernardino County,CA,36,1058,1058000,1819,2018,2019,outflow,Clackamas County-San Bernardino County-CA-1819,"San Bernardino County, CA"
60045,Clackamas County,OR,Ventura County,CA,34,1705,1705000,1819,2018,2019,outflow,Clackamas County-Ventura County-CA-1819,"Ventura County, CA"
60046,Clackamas County,OR,Kitsap County,WA,38,1262,1262000,1819,2018,2019,outflow,Clackamas County-Kitsap County-WA-1819,"Kitsap County, WA"
60047,Clackamas County,OR,Lewis County,WA,31,1099,1099000,1819,2018,2019,outflow,Clackamas County-Lewis County-WA-1819,"Lewis County, WA"
60049,Clackamas County,OR,Cook County,IL,35,1793,1793000,1819,2018,2019,outflow,Clackamas County-Cook County-IL-1819,"Cook County, IL"
60050,Clackamas County,OR,El Paso County,CO,43,1061,1061000,1819,2018,2019,outflow,Clackamas County-El Paso County-CO-1819,"El Paso County, CO"
60051,Clackamas County,OR,Hawaii County,HI,30,1402,1402000,1819,2018,2019,outflow,Clackamas County-Hawaii County-HI-1819,"Hawaii County, HI"
60052,Clackamas County,OR,New York County,NY,25,2391,2391000,1819,2018,2019,outflow,Clackamas County-New York County-NY-1819,"New York County, NY"
60053,Clackamas County,OR,Baker County,OR,34,838,838000,1819,2018,2019,outflow,Clackamas County-Baker County-OR-1819,"Baker County, OR"
60054,Clackamas County,OR,Klickitat County,WA,40,1207,1207000,1819,2018,2019,outflow,Clackamas County-Klickitat County-WA-1819,"Klickitat County, WA"
60062,Clatsop County,OR,Clatsop County Total Migration-US and Foreign,OR,2223,70972,70972000,1819,2018,2019,outflow,Clatsop County total migration-1819,"Clatsop County Total Migration-US and Foreign, OR"
60067,Clatsop County,OR,Multnomah County,OR,154,5837,5837000,1819,2018,2019,outflow,Clatsop County-Multnomah County-OR-1819,"Multnomah County, OR"
60068,Clatsop County,OR,Washington County,OR,151,5331,5331000,1819,2018,2019,outflow,Clatsop County-Washington County-OR-1819,"Washington County, OR"
60069,Clatsop County,OR,Pacific County,WA,123,3552,3552000,1819,2018,2019,outflow,Clatsop County-Pacific County-WA-1819,"Pacific County, WA"
60070,Clatsop County,OR,Clackamas County,OR,79,2049,2049000,1819,2018,2019,outflow,Clatsop County-Clackamas County-OR-1819,"Clackamas County, OR"
60071,Clatsop County,OR,Clark County,WA,79,2761,2761000,1819,2018,2019,outflow,Clatsop County-Clark County-WA-1819,"Clark County, WA"
60072,Clatsop County,OR,Lane County,OR,47,1228,1228000,1819,2018,2019,outflow,Clatsop County-Lane County-OR-1819,"Lane County, OR"
60073,Clatsop County,OR,King County,WA,43,1354,1354000,1819,2018,2019,outflow,Clatsop County-King County-WA-1819,"King County, WA"
60074,Clatsop County,OR,Columbia County,OR,48,1624,1624000,1819,2018,2019,outflow,Clatsop County-Columbia County-OR-1819,"Columbia County, OR"
60075,Clatsop County,OR,Cowlitz County,WA,64,1138,1138000,1819,2018,2019,outflow,Clatsop County-Cowlitz County-WA-1819,"Cowlitz County, WA"
60076,Clatsop County,OR,Deschutes County,OR,39,1450,1450000,1819,2018,2019,outflow,Clatsop County-Deschutes County-OR-1819,"Deschutes County, OR"
60077,Clatsop County,OR,Marion County,OR,44,966,966000,1819,2018,2019,outflow,Clatsop County-Marion County-OR-1819,"Marion County, OR"
60078,Clatsop County,OR,Tillamook County,OR,55,1075,1075000,1819,2018,2019,outflow,Clatsop County-Tillamook County-OR-1819,"Tillamook County, OR"
60086,Columbia County,OR,Columbia County Total Migration-US and Foreign,OR,2436,72699,72699000,1819,2018,2019,outflow,Columbia County total migration-1819,"Columbia County Total Migration-US and Foreign, OR"
60091,Columbia County,OR,Washington County,OR,415,11246,11246000,1819,2018,2019,outflow,Columbia County-Washington County-OR-1819,"Washington County, OR"
60092,Columbia County,OR,Multnomah County,OR,268,9116,9116000,1819,2018,2019,outflow,Columbia County-Multnomah County-OR-1819,"Multnomah County, OR"
60093,Columbia County,OR,Cowlitz County,WA,278,7215,7215000,1819,2018,2019,outflow,Columbia County-Cowlitz County-WA-1819,"Cowlitz County, WA"
60094,Columbia County,OR,Clackamas County,OR,117,4030,4030000,1819,2018,2019,outflow,Columbia County-Clackamas County-OR-1819,"Clackamas County, OR"
60095,Columbia County,OR,Clark County,WA,135,4515,4515000,1819,2018,2019,outflow,Columbia County-Clark County-WA-1819,"Clark County, WA"
60096,Columbia County,OR,Clatsop County,OR,79,1513,1513000,1819,2018,2019,outflow,Columbia County-Clatsop County-OR-1819,"Clatsop County, OR"
60097,Columbia County,OR,Yamhill County,OR,52,1879,1879000,1819,2018,2019,outflow,Columbia County-Yamhill County-OR-1819,"Yamhill County, OR"
60098,Columbia County,OR,Deschutes County,OR,40,1491,1491000,1819,2018,2019,outflow,Columbia County-Deschutes County-OR-1819,"Deschutes County, OR"
60099,Columbia County,OR,Marion County,OR,39,1372,1372000,1819,2018,2019,outflow,Columbia County-Marion County-OR-1819,"Marion County, OR"
60107,Coos County,OR,Coos County Total Migration-US and Foreign,OR,2613,69413,69413000,1819,2018,2019,outflow,Coos County total migration-1819,"Coos County Total Migration-US and Foreign, OR"
60112,Coos County,OR,Lane County,OR,256,6848,6848000,1819,2018,2019,outflow,Coos County-Lane County-OR-1819,"Lane County, OR"
60113,Coos County,OR,Douglas County,OR,159,4194,4194000,1819,2018,2019,outflow,Coos County-Douglas County-OR-1819,"Douglas County, OR"
60114,Coos County,OR,Multnomah County,OR,93,2765,2765000,1819,2018,2019,outflow,Coos County-Multnomah County-OR-1819,"Multnomah County, OR"
60115,Coos County,OR,Jackson County,OR,84,2238,2238000,1819,2018,2019,outflow,Coos County-Jackson County-OR-1819,"Jackson County, OR"
60116,Coos County,OR,Curry County,OR,89,2975,2975000,1819,2018,2019,outflow,Coos County-Curry County-OR-1819,"Curry County, OR"
60117,Coos County,OR,Marion County,OR,68,1836,1836000,1819,2018,2019,outflow,Coos County-Marion County-OR-1819,"Marion County, OR"
60118,Coos County,OR,Deschutes County,OR,67,1613,1613000,1819,2018,2019,outflow,Coos County-Deschutes County-OR-1819,"Deschutes County, OR"
60119,Coos County,OR,Washington County,OR,41,1376,1376000,1819,2018,2019,outflow,Coos County-Washington County-OR-1819,"Washington County, OR"
60120,Coos County,OR,Maricopa County,AZ,41,1601,1601000,1819,2018,2019,outflow,Coos County-Maricopa County-AZ-1819,"Maricopa County, AZ"
60121,Coos County,OR,Clark County,WA,42,1385,1385000,1819,2018,2019,outflow,Coos County-Clark County-WA-1819,"Clark County, WA"
60122,Coos County,OR,Clackamas County,OR,37,1847,1847000,1819,2018,2019,outflow,Coos County-Clackamas County-OR-1819,"Clackamas County, OR"
60123,Coos County,OR,Josephine County,OR,58,1470,1470000,1819,2018,2019,outflow,Coos County-Josephine County-OR-1819,"Josephine County, OR"
60124,Coos County,OR,Linn County,OR,40,759,759000,1819,2018,2019,outflow,Coos County-Linn County-OR-1819,"Linn County, OR"
60132,Crook County,OR,Crook County Total Migration-US and Foreign,OR,1276,30738,30738000,1819,2018,2019,outflow,Crook County total migration-1819,"Crook County Total Migration-US and Foreign, OR"
60137,Crook County,OR,Deschutes County,OR,440,11961,11961000,1819,2018,2019,outflow,Crook County-Deschutes County-OR-1819,"Deschutes County, OR"
60138,Crook County,OR,Jefferson County,OR,112,1854,1854000,1819,2018,2019,outflow,Crook County-Jefferson County-OR-1819,"Jefferson County, OR"
60139,Crook County,OR,Clackamas County,OR,35,773,773000,1819,2018,2019,outflow,Crook County-Clackamas County-OR-1819,"Clackamas County, OR"
60146,Curry County,OR,Curry County Total Migration-US and Foreign,OR,1143,33700,33700000,1819,2018,2019,outflow,Curry County total migration-1819,"Curry County Total Migration-US and Foreign, OR"
60151,Curry County,OR,Jackson County,OR,107,2956,2956000,1819,2018,2019,outflow,Curry County-Jackson County-OR-1819,"Jackson County, OR"
60152,Curry County,OR,Coos County,OR,85,2201,2201000,1819,2018,2019,outflow,Curry County-Coos County-OR-1819,"Coos County, OR"
60153,Curry County,OR,Lane County,OR,64,1531,1531000,1819,2018,2019,outflow,Curry County-Lane County-OR-1819,"Lane County, OR"
60154,Curry County,OR,Del Norte County,CA,56,1726,1726000,1819,2018,2019,outflow,Curry County-Del Norte County-CA-1819,"Del Norte County, CA"
60155,Curry County,OR,Josephine County,OR,44,1754,1754000,1819,2018,2019,outflow,Curry County-Josephine County-OR-1819,"Josephine County, OR"
60162,Deschutes County,OR,Deschutes County Total Migration-US and Foreign,OR,9114,348901,348901000,1819,2018,2019,outflow,Deschutes County total migration-1819,"Deschutes County Total Migration-US and Foreign, OR"
60167,Deschutes County,OR,Crook County,OR,637,18420,18420000,1819,2018,2019,outflow,Deschutes County-Crook County-OR-1819,"Crook County, OR"
60168,Deschutes County,OR,Jefferson County,OR,586,14367,14367000,1819,2018,2019,outflow,Deschutes County-Jefferson County-OR-1819,"Jefferson County, OR"
60169,Deschutes County,OR,Multnomah County,OR,387,18930,18930000,1819,2018,2019,outflow,Deschutes County-Multnomah County-OR-1819,"Multnomah County, OR"
60170,Deschutes County,OR,Lane County,OR,359,9074,9074000,1819,2018,2019,outflow,Deschutes County-Lane County-OR-1819,"Lane County, OR"
60171,Deschutes County,OR,Washington County,OR,260,12011,12011000,1819,2018,2019,outflow,Deschutes County-Washington County-OR-1819,"Washington County, OR"
60172,Deschutes County,OR,Clackamas County,OR,270,10923,10923000,1819,2018,2019,outflow,Deschutes County-Clackamas County-OR-1819,"Clackamas County, OR"
60173,Deschutes County,OR,Maricopa County,AZ,244,10601,10601000,1819,2018,2019,outflow,Deschutes County-Maricopa County-AZ-1819,"Maricopa County, AZ"
60174,Deschutes County,OR,Marion County,OR,226,5276,5276000,1819,2018,2019,outflow,Deschutes County-Marion County-OR-1819,"Marion County, OR"
60175,Deschutes County,OR,King County,WA,172,12464,12464000,1819,2018,2019,outflow,Deschutes County-King County-WA-1819,"King County, WA"
60176,Deschutes County,OR,Klamath County,OR,192,4150,4150000,1819,2018,2019,outflow,Deschutes County-Klamath County-OR-1819,"Klamath County, OR"
60177,Deschutes County,OR,Jackson County,OR,139,5469,5469000,1819,2018,2019,outflow,Deschutes County-Jackson County-OR-1819,"Jackson County, OR"
60178,Deschutes County,OR,Ada County,ID,142,5533,5533000,1819,2018,2019,outflow,Deschutes County-Ada County-ID-1819,"Ada County, ID"
60179,Deschutes County,OR,Clark County,WA,126,5928,5928000,1819,2018,2019,outflow,Deschutes County-Clark County-WA-1819,"Clark County, WA"
60180,Deschutes County,OR,Linn County,OR,135,3548,3548000,1819,2018,2019,outflow,Deschutes County-Linn County-OR-1819,"Linn County, OR"
60181,Deschutes County,OR,San Diego County,CA,100,6633,6633000,1819,2018,2019,outflow,Deschutes County-San Diego County-CA-1819,"San Diego County, CA"
60182,Deschutes County,OR,Clark County,NV,113,5069,5069000,1819,2018,2019,outflow,Deschutes County-Clark County-NV-1819,"Clark County, NV"
60183,Deschutes County,OR,Benton County,OR,80,2892,2892000,1819,2018,2019,outflow,Deschutes County-Benton County-OR-1819,"Benton County, OR"
60184,Deschutes County,OR,Los Angeles County,CA,87,4264,4264000,1819,2018,2019,outflow,Deschutes County-Los Angeles County-CA-1819,"Los Angeles County, CA"
60185,Deschutes County,OR,Pima County,AZ,94,5698,5698000,1819,2018,2019,outflow,Deschutes County-Pima County-AZ-1819,"Pima County, AZ"
60186,Deschutes County,OR,Douglas County,OR,82,2436,2436000,1819,2018,2019,outflow,Deschutes County-Douglas County-OR-1819,"Douglas County, OR"
60187,Deschutes County,OR,Riverside County,CA,69,6570,6570000,1819,2018,2019,outflow,Deschutes County-Riverside County-CA-1819,"Riverside County, CA"
60188,Deschutes County,OR,Lincoln County,OR,68,1729,1729000,1819,2018,2019,outflow,Deschutes County-Lincoln County-OR-1819,"Lincoln County, OR"
60189,Deschutes County,OR,Pinal County,AZ,78,2361,2361000,1819,2018,2019,outflow,Deschutes County-Pinal County-AZ-1819,"Pinal County, AZ"
60190,Deschutes County,OR,Polk County,OR,70,2056,2056000,1819,2018,2019,outflow,Deschutes County-Polk County-OR-1819,"Polk County, OR"
60191,Deschutes County,OR,Spokane County,WA,65,2369,2369000,1819,2018,2019,outflow,Deschutes County-Spokane County-WA-1819,"Spokane County, WA"
60192,Deschutes County,OR,Orange County,CA,49,2603,2603000,1819,2018,2019,outflow,Deschutes County-Orange County-CA-1819,"Orange County, CA"
60193,Deschutes County,OR,Yamhill County,OR,64,1823,1823000,1819,2018,2019,outflow,Deschutes County-Yamhill County-OR-1819,"Yamhill County, OR"
60194,Deschutes County,OR,Canyon County,ID,50,989,989000,1819,2018,2019,outflow,Deschutes County-Canyon County-ID-1819,"Canyon County, ID"
60195,Deschutes County,OR,Josephine County,OR,56,1711,1711000,1819,2018,2019,outflow,Deschutes County-Josephine County-OR-1819,"Josephine County, OR"
60196,Deschutes County,OR,Washoe County,NV,50,2204,2204000,1819,2018,2019,outflow,Deschutes County-Washoe County-NV-1819,"Washoe County, NV"
60197,Deschutes County,OR,Lake County,OR,52,1021,1021000,1819,2018,2019,outflow,Deschutes County-Lake County-OR-1819,"Lake County, OR"
60198,Deschutes County,OR,Denver County,CO,29,1594,1594000,1819,2018,2019,outflow,Deschutes County-Denver County-CO-1819,"Denver County, CO"
60199,Deschutes County,OR,Coos County,OR,36,1008,1008000,1819,2018,2019,outflow,Deschutes County-Coos County-OR-1819,"Coos County, OR"
60200,Deschutes County,OR,Salt Lake County,UT,31,878,878000,1819,2018,2019,outflow,Deschutes County-Salt Lake County-UT-1819,"Salt Lake County, UT"
60201,Deschutes County,OR,Benton County,WA,42,1144,1144000,1819,2018,2019,outflow,Deschutes County-Benton County-WA-1819,"Benton County, WA"
60202,Deschutes County,OR,Alameda County,CA,39,1573,1573000,1819,2018,2019,outflow,Deschutes County-Alameda County-CA-1819,"Alameda County, CA"
60203,Deschutes County,OR,Santa Clara County,CA,42,2921,2921000,1819,2018,2019,outflow,Deschutes County-Santa Clara County-CA-1819,"Santa Clara County, CA"
60204,Deschutes County,OR,Pierce County,WA,53,1758,1758000,1819,2018,2019,outflow,Deschutes County-Pierce County-WA-1819,"Pierce County, WA"
60205,Deschutes County,OR,Tillamook County,OR,44,1214,1214000,1819,2018,2019,outflow,Deschutes County-Tillamook County-OR-1819,"Tillamook County, OR"
60206,Deschutes County,OR,Umatilla County,OR,38,992,992000,1819,2018,2019,outflow,Deschutes County-Umatilla County-OR-1819,"Umatilla County, OR"
60207,Deschutes County,OR,Whatcom County,WA,35,1609,1609000,1819,2018,2019,outflow,Deschutes County-Whatcom County-WA-1819,"Whatcom County, WA"
60208,Deschutes County,OR,Boulder County,CO,29,697,697000,1819,2018,2019,outflow,Deschutes County-Boulder County-CO-1819,"Boulder County, CO"
60209,Deschutes County,OR,Harney County,OR,51,828,828000,1819,2018,2019,outflow,Deschutes County-Harney County-OR-1819,"Harney County, OR"
60210,Deschutes County,OR,Union County,OR,34,1028,1028000,1819,2018,2019,outflow,Deschutes County-Union County-OR-1819,"Union County, OR"
60211,Deschutes County,OR,Kitsap County,WA,42,1395,1395000,1819,2018,2019,outflow,Deschutes County-Kitsap County-WA-1819,"Kitsap County, WA"
60212,Deschutes County,OR,Snohomish County,WA,25,1132,1132000,1819,2018,2019,outflow,Deschutes County-Snohomish County-WA-1819,"Snohomish County, WA"
60213,Deschutes County,OR,Sacramento County,CA,39,634,634000,1819,2018,2019,outflow,Deschutes County-Sacramento County-CA-1819,"Sacramento County, CA"
60214,Deschutes County,OR,San Francisco County,CA,25,1709,1709000,1819,2018,2019,outflow,Deschutes County-San Francisco County-CA-1819,"San Francisco County, CA"
60215,Deschutes County,OR,Kootenai County,ID,27,910,910000,1819,2018,2019,outflow,Deschutes County-Kootenai County-ID-1819,"Kootenai County, ID"
60216,Deschutes County,OR,Wasco County,OR,43,1228,1228000,1819,2018,2019,outflow,Deschutes County-Wasco County-OR-1819,"Wasco County, OR"
60217,Deschutes County,OR,Travis County,TX,34,1575,1575000,1819,2018,2019,outflow,Deschutes County-Travis County-TX-1819,"Travis County, TX"
60225,Douglas County,OR,Douglas County Total Migration-US and Foreign,OR,3421,90022,90022000,1819,2018,2019,outflow,Douglas County total migration-1819,"Douglas County Total Migration-US and Foreign, OR"
60230,Douglas County,OR,Lane County,OR,452,8067,8067000,1819,2018,2019,outflow,Douglas County-Lane County-OR-1819,"Lane County, OR"
60231,Douglas County,OR,Coos County,OR,174,3597,3597000,1819,2018,2019,outflow,Douglas County-Coos County-OR-1819,"Coos County, OR"
60232,Douglas County,OR,Jackson County,OR,149,3664,3664000,1819,2018,2019,outflow,Douglas County-Jackson County-OR-1819,"Jackson County, OR"
60233,Douglas County,OR,Josephine County,OR,133,2926,2926000,1819,2018,2019,outflow,Douglas County-Josephine County-OR-1819,"Josephine County, OR"
