,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
3441,Washington County total migration-2021,"Washington County Total Migration-US and Foreign, OR",2021,2020,2021,32313,1502807000,36186,1956227000,-3873,-453420000,Washington County,46507.81419243029,54060.32719836401
3533,Wheeler County total migration-2021,"Wheeler County Total Migration-US and Foreign, OR",2021,2020,2021,62,1482000,41,515000,21,967000,Wheeler County,23903.225806451614,12560.975609756097
3534,Yamhill County total migration-2021,"Yamhill County Total Migration-US and Foreign, OR",2021,2020,2021,5976,239272000,5670,250552000,306,-11280000,Yamhill County,40038.82195448461,44189.06525573192
3551,Baker County total migration-1516,"Baker County Total Migration-US and Foreign, OR",1516,2015,2016,783,17097000,650,15418000,133,1679000,Baker County,21835.249042145595,23720.0
3554,Benton County total migration-1516,"Benton County Total Migration-US and Foreign, OR",1516,2015,2016,5196,154274000,5508,161546000,-312,-7272000,Benton County,29690.916089299462,29329.339143064633
3572,Clackamas County total migration-1516,"Clackamas County Total Migration-US and Foreign, OR",1516,2015,2016,28211,1084222000,22524,792139000,5687,292083000,Clackamas County,38432.59721385275,35168.66453560646
3625,Clatsop County total migration-1516,"Clatsop County Total Migration-US and Foreign, OR",1516,2015,2016,2731,73836000,2138,54932000,593,18904000,Clatsop County,27036.2504577078,25693.171188026194
3636,Columbia County total migration-1516,"Columbia County Total Migration-US and Foreign, OR",1516,2015,2016,3053,81655000,1968,48873000,1085,32782000,Columbia County,26745.823779888633,24833.841463414636
3644,Coos County total migration-1516,"Coos County Total Migration-US and Foreign, OR",1516,2015,2016,3119,71409000,2467,57624000,652,13785000,Coos County,22894.83808913113,23357.924604783137
3657,Crook County total migration-1516,"Crook County Total Migration-US and Foreign, OR",1516,2015,2016,1710,50877000,947,20528000,763,30349000,Crook County,29752.63157894737,21676.87434002112
3661,Curry County total migration-1516,"Curry County Total Migration-US and Foreign, OR",1516,2015,2016,1627,44295000,1193,26504000,434,17791000,Curry County,27224.953902888752,22216.261525565802
3666,Deschutes County total migration-1516,"Deschutes County Total Migration-US and Foreign, OR",1516,2015,2016,12650,526926000,7517,210648000,5133,316278000,Deschutes County,41654.229249011856,28022.881468671014
3697,Douglas County total migration-1516,"Douglas County Total Migration-US and Foreign, OR",1516,2015,2016,4639,102992000,3666,83148000,973,19844000,Douglas County,22201.336494934254,22680.85106382979
3712,Gilliam County total migration-1516,"Gilliam County Total Migration-US and Foreign, OR",1516,2015,2016,93,1540000,89,1790000,4,-250000,Gilliam County,16559.139784946237,20112.3595505618
3713,Grant County total migration-1516,"Grant County Total Migration-US and Foreign, OR",1516,2015,2016,349,7967000,300,7088000,49,879000,Grant County,22828.08022922636,23626.666666666668
