,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1225,Multnomah County-Yakima County-WA-1617,"Yakima County, WA",1617,2016,2017,85,1979000,82,2057000,3,-78000,Multnomah County,Multnomah County-Yakima County-WA
1226,Multnomah County-Kern County-CA-1617,"Kern County, CA",1617,2016,2017,82,2174000,44,1232000,38,942000,Multnomah County,Multnomah County-Kern County-CA
1227,Multnomah County-DeKalb County-GA-1617,"DeKalb County, GA",1617,2016,2017,76,3014000,70,3101000,6,-87000,Multnomah County,Multnomah County-DeKalb County-GA
1228,Multnomah County-St. Louis County-MO-1617,"St. Louis County, MO",1617,2016,2017,74,2206000,40,1530000,34,676000,Multnomah County,Multnomah County-St. Louis County-MO
1229,Multnomah County-Gallatin County-MT-1617,"Gallatin County, MT",1617,2016,2017,59,1614000,65,1690000,-6,-76000,Multnomah County,Multnomah County-Gallatin County-MT
1230,Multnomah County-Hamilton County-OH-1617,"Hamilton County, OH",1617,2016,2017,60,3726000,49,1392000,11,2334000,Multnomah County,Multnomah County-Hamilton County-OH
1231,Multnomah County-El Paso County-CO-1617,"El Paso County, CO",1617,2016,2017,78,3298000,95,2349000,-17,949000,Multnomah County,Multnomah County-El Paso County-CO
1232,Multnomah County-San Joaquin County-CA-1617,"San Joaquin County, CA",1617,2016,2017,83,2303000,38,585000,45,1718000,Multnomah County,Multnomah County-San Joaquin County-CA
1233,Multnomah County-Hawaii County-HI-1617,"Hawaii County, HI",1617,2016,2017,67,1620000,103,2989000,-36,-1369000,Multnomah County,Multnomah County-Hawaii County-HI
1234,Multnomah County-Orleans Parish-LA-1617,"Orleans Parish, LA",1617,2016,2017,59,2399000,84,2451000,-25,-52000,Multnomah County,Multnomah County-Orleans Parish-LA
1235,Multnomah County-Klamath County-OR-1617,"Klamath County, OR",1617,2016,2017,68,1819000,105,2512000,-37,-693000,Multnomah County,Multnomah County-Klamath County-OR
1236,Multnomah County-Bexar County-TX-1617,"Bexar County, TX",1617,2016,2017,64,2411000,66,1778000,-2,633000,Multnomah County,Multnomah County-Bexar County-TX
1237,Multnomah County-Placer County-CA-1617,"Placer County, CA",1617,2016,2017,59,2329000,66,2449000,-7,-120000,Multnomah County,Multnomah County-Placer County-CA
1238,Multnomah County-Shasta County-CA-1617,"Shasta County, CA",1617,2016,2017,62,1890000,54,2108000,8,-218000,Multnomah County,Multnomah County-Shasta County-CA
1239,Multnomah County-Pinellas County-FL-1617,"Pinellas County, FL",1617,2016,2017,54,2764000,85,3043000,-31,-279000,Multnomah County,Multnomah County-Pinellas County-FL
1240,Multnomah County-Tarrant County-TX-1617,"Tarrant County, TX",1617,2016,2017,74,2389000,91,2315000,-17,74000,Multnomah County,Multnomah County-Tarrant County-TX
1241,Multnomah County-Umatilla County-OR-1617,"Umatilla County, OR",1617,2016,2017,71,1758000,141,3006000,-70,-1248000,Multnomah County,Multnomah County-Umatilla County-OR
1242,Multnomah County-Coconino County-AZ-1617,"Coconino County, AZ",1617,2016,2017,59,1541000,31,784000,28,757000,Multnomah County,Multnomah County-Coconino County-AZ
1243,Multnomah County-Douglas County-NE-1617,"Douglas County, NE",1617,2016,2017,55,2798000,63,2133000,-8,665000,Multnomah County,Multnomah County-Douglas County-NE
1244,Multnomah County-Buncombe County-NC-1617,"Buncombe County, NC",1617,2016,2017,53,1514000,57,2265000,-4,-751000,Multnomah County,Multnomah County-Buncombe County-NC
1245,Multnomah County-New Haven County-CT-1617,"New Haven County, CT",1617,2016,2017,62,2601000,58,2049000,4,552000,Multnomah County,Multnomah County-New Haven County-CT
1246,Multnomah County-Butte County-CA-1617,"Butte County, CA",1617,2016,2017,54,1840000,69,1609000,-15,231000,Multnomah County,Multnomah County-Butte County-CA
1247,Multnomah County-Yolo County-CA-1617,"Yolo County, CA",1617,2016,2017,60,1848000,36,1279000,24,569000,Multnomah County,Multnomah County-Yolo County-CA
1248,Multnomah County-Coos County-OR-1617,"Coos County, OR",1617,2016,2017,58,1457000,117,2794000,-59,-1337000,Multnomah County,Multnomah County-Coos County-OR
1249,Multnomah County-Charleston County-SC-1617,"Charleston County, SC",1617,2016,2017,58,2590000,30,1190000,28,1400000,Multnomah County,Multnomah County-Charleston County-SC
1250,Multnomah County-Walla Walla County-WA-1617,"Walla Walla County, WA",1617,2016,2017,58,1548000,68,2019000,-10,-471000,Multnomah County,Multnomah County-Walla Walla County-WA
1251,Multnomah County-Duval County-FL-1617,"Duval County, FL",1617,2016,2017,59,1689000,67,2365000,-8,-676000,Multnomah County,Multnomah County-Duval County-FL
1252,Multnomah County-Kent County-MI-1617,"Kent County, MI",1617,2016,2017,45,2224000,44,1589000,1,635000,Multnomah County,Multnomah County-Kent County-MI
1253,Multnomah County-Hudson County-NJ-1617,"Hudson County, NJ",1617,2016,2017,56,3543000,36,1746000,20,1797000,Multnomah County,Multnomah County-Hudson County-NJ
1254,Multnomah County-Johnson County-KS-1617,"Johnson County, KS",1617,2016,2017,52,2203000,56,2364000,-4,-161000,Multnomah County,Multnomah County-Johnson County-KS
1255,Multnomah County-Santa Fe County-NM-1617,"Santa Fe County, NM",1617,2016,2017,51,2545000,64,2423000,-13,122000,Multnomah County,Multnomah County-Santa Fe County-NM
1256,Multnomah County-Monroe County-NY-1617,"Monroe County, NY",1617,2016,2017,46,1782000,50,1660000,-4,122000,Multnomah County,Multnomah County-Monroe County-NY
1257,Multnomah County-Chittenden County-VT-1617,"Chittenden County, VT",1617,2016,2017,54,2105000,48,1414000,6,691000,Multnomah County,Multnomah County-Chittenden County-VT
1258,Multnomah County-Yavapai County-AZ-1617,"Yavapai County, AZ",1617,2016,2017,47,1347000,57,2134000,-10,-787000,Multnomah County,Multnomah County-Yavapai County-AZ
1259,Multnomah County-Kootenai County-ID-1617,"Kootenai County, ID",1617,2016,2017,54,1591000,88,2633000,-34,-1042000,Multnomah County,Multnomah County-Kootenai County-ID
1260,Multnomah County-DuPage County-IL-1617,"DuPage County, IL",1617,2016,2017,37,1413000,37,1608000,0,-195000,Multnomah County,Multnomah County-DuPage County-IL
1261,Multnomah County-Jackson County-MO-1617,"Jackson County, MO",1617,2016,2017,47,1600000,57,1876000,-10,-276000,Multnomah County,Multnomah County-Jackson County-MO
1262,Multnomah County-Providence County-RI-1617,"Providence County, RI",1617,2016,2017,48,2337000,53,2073000,-5,264000,Multnomah County,Multnomah County-Providence County-RI
1263,Multnomah County-Solano County-CA-1617,"Solano County, CA",1617,2016,2017,53,1995000,46,1011000,7,984000,Multnomah County,Multnomah County-Solano County-CA
1264,Multnomah County-Hartford County-CT-1617,"Hartford County, CT",1617,2016,2017,41,2121000,27,387000,14,1734000,Multnomah County,Multnomah County-Hartford County-CT
1265,Multnomah County-Cumberland County-ME-1617,"Cumberland County, ME",1617,2016,2017,44,3210000,66,2386000,-22,824000,Multnomah County,Multnomah County-Cumberland County-ME
1266,Multnomah County-Utah County-UT-1617,"Utah County, UT",1617,2016,2017,69,1058000,49,1131000,20,-73000,Multnomah County,Multnomah County-Utah County-UT
1267,Multnomah County-Canyon County-ID-1617,"Canyon County, ID",1617,2016,2017,60,1012000,168,3258000,-108,-2246000,Multnomah County,Multnomah County-Canyon County-ID
1268,Multnomah County-Oklahoma County-OK-1617,"Oklahoma County, OK",1617,2016,2017,53,1391000,35,1301000,18,90000,Multnomah County,Multnomah County-Oklahoma County-OK
1269,Multnomah County-Wayne County-MI-1617,"Wayne County, MI",1617,2016,2017,40,2419000,55,1621000,-15,798000,Multnomah County,Multnomah County-Wayne County-MI
1270,Multnomah County-Union County-OR-1617,"Union County, OR",1617,2016,2017,45,1080000,47,1942000,-2,-862000,Multnomah County,Multnomah County-Union County-OR
1271,Multnomah County-Greene County-MO-1617,"Greene County, MO",1617,2016,2017,32,867000,51,1092000,-19,-225000,Multnomah County,Multnomah County-Greene County-MO
1272,Multnomah County-Shelby County-TN-1617,"Shelby County, TN",1617,2016,2017,53,2121000,30,1030000,23,1091000,Multnomah County,Multnomah County-Shelby County-TN
1273,Multnomah County-Jefferson County-KY-1617,"Jefferson County, KY",1617,2016,2017,42,1845000,42,1639000,0,206000,Multnomah County,Multnomah County-Jefferson County-KY
1274,Multnomah County-Hampshire County-MA-1617,"Hampshire County, MA",1617,2016,2017,42,1356000,42,2205000,0,-849000,Multnomah County,Multnomah County-Hampshire County-MA
1275,Multnomah County-Erie County-NY-1617,"Erie County, NY",1617,2016,2017,34,1168000,33,800000,1,368000,Multnomah County,Multnomah County-Erie County-NY
1276,Multnomah County-Collin County-TX-1617,"Collin County, TX",1617,2016,2017,45,2230000,49,2937000,-4,-707000,Multnomah County,Multnomah County-Collin County-TX
1277,Multnomah County-Williamson County-TX-1617,"Williamson County, TX",1617,2016,2017,48,1599000,59,3078000,-11,-1479000,Multnomah County,Multnomah County-Williamson County-TX
1278,Multnomah County-Durham County-NC-1617,"Durham County, NC",1617,2016,2017,42,1781000,54,2344000,-12,-563000,Multnomah County,Multnomah County-Durham County-NC
1279,Multnomah County-Orange County-NC-1617,"Orange County, NC",1617,2016,2017,47,2160000,38,1367000,9,793000,Multnomah County,Multnomah County-Orange County-NC
1280,Multnomah County-Klickitat County-WA-1617,"Klickitat County, WA",1617,2016,2017,46,1471000,124,5017000,-78,-3546000,Multnomah County,Multnomah County-Klickitat County-WA
1281,Multnomah County-Onondaga County-NY-1617,"Onondaga County, NY",1617,2016,2017,34,1369000,29,1096000,5,273000,Multnomah County,Multnomah County-Onondaga County-NY
1282,Multnomah County-Polk County-IA-1617,"Polk County, IA",1617,2016,2017,38,1222000,49,1182000,-11,40000,Multnomah County,Multnomah County-Polk County-IA
1283,Multnomah County-Island County-WA-1617,"Island County, WA",1617,2016,2017,35,974000,52,1120000,-17,-146000,Multnomah County,Multnomah County-Island County-WA
1284,Multnomah County-Jefferson County-OR-1617,"Jefferson County, OR",1617,2016,2017,35,1473000,78,2191000,-43,-718000,Multnomah County,Multnomah County-Jefferson County-OR
1286,Polk County-Marion County-OR-1617,"Marion County, OR",1617,2016,2017,3271,78321000,3058,79173000,213,-852000,Polk County,Polk County-Marion County-OR
1287,Polk County-Yamhill County-OR-1617,"Yamhill County, OR",1617,2016,2017,679,15604000,409,8501000,270,7103000,Polk County,Polk County-Yamhill County-OR
1288,Polk County-Washington County-OR-1617,"Washington County, OR",1617,2016,2017,408,10729000,248,7320000,160,3409000,Polk County,Polk County-Washington County-OR
1289,Polk County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,277,7210000,206,6393000,71,817000,Polk County,Polk County-Multnomah County-OR
1290,Polk County-Clackamas County-OR-1617,"Clackamas County, OR",1617,2016,2017,280,7636000,178,5069000,102,2567000,Polk County,Polk County-Clackamas County-OR
1291,Polk County-Linn County-OR-1617,"Linn County, OR",1617,2016,2017,265,6540000,317,7410000,-52,-870000,Polk County,Polk County-Linn County-OR
1292,Polk County-Benton County-OR-1617,"Benton County, OR",1617,2016,2017,212,6008000,142,3666000,70,2342000,Polk County,Polk County-Benton County-OR
1293,Polk County-Lane County-OR-1617,"Lane County, OR",1617,2016,2017,156,4021000,142,3541000,14,480000,Polk County,Polk County-Lane County-OR
1294,Polk County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,107,3119000,160,4535000,-53,-1416000,Polk County,Polk County-Deschutes County-OR
1295,Polk County-Lincoln County-OR-1617,"Lincoln County, OR",1617,2016,2017,101,2418000,115,2910000,-14,-492000,Polk County,Polk County-Lincoln County-OR
1296,Polk County-Clark County-WA-1617,"Clark County, WA",1617,2016,2017,70,1561000,82,2647000,-12,-1086000,Polk County,Polk County-Clark County-WA
1297,Polk County-Maricopa County-AZ-1617,"Maricopa County, AZ",1617,2016,2017,67,2358000,68,1684000,-1,674000,Polk County,Polk County-Maricopa County-AZ
1298,Polk County-Douglas County-OR-1617,"Douglas County, OR",1617,2016,2017,81,1725000,43,851000,38,874000,Polk County,Polk County-Douglas County-OR
1299,Polk County-Jackson County-OR-1617,"Jackson County, OR",1617,2016,2017,64,1688000,43,927000,21,761000,Polk County,Polk County-Jackson County-OR
1300,Polk County-King County-WA-1617,"King County, WA",1617,2016,2017,63,1951000,40,1680000,23,271000,Polk County,Polk County-King County-WA
1303,Tillamook County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,248,11400000,105,2745000,143,8655000,Tillamook County,Tillamook County-Multnomah County-OR
1304,Tillamook County-Washington County-OR-1617,"Washington County, OR",1617,2016,2017,246,8137000,107,3240000,139,4897000,Tillamook County,Tillamook County-Washington County-OR
1305,Tillamook County-Clackamas County-OR-1617,"Clackamas County, OR",1617,2016,2017,126,5250000,62,2337000,64,2913000,Tillamook County,Tillamook County-Clackamas County-OR
1306,Tillamook County-Clatsop County-OR-1617,"Clatsop County, OR",1617,2016,2017,83,1414000,78,2019000,5,-605000,Tillamook County,Tillamook County-Clatsop County-OR
1307,Tillamook County-Marion County-OR-1617,"Marion County, OR",1617,2016,2017,70,2236000,58,1001000,12,1235000,Tillamook County,Tillamook County-Marion County-OR
1308,Tillamook County-Yamhill County-OR-1617,"Yamhill County, OR",1617,2016,2017,77,1487000,47,1276000,30,211000,Tillamook County,Tillamook County-Yamhill County-OR
1309,Tillamook County-Lincoln County-OR-1617,"Lincoln County, OR",1617,2016,2017,47,1055000,70,1992000,-23,-937000,Tillamook County,Tillamook County-Lincoln County-OR
1310,Tillamook County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,52,1666000,59,1341000,-7,325000,Tillamook County,Tillamook County-Deschutes County-OR
1311,Tillamook County-Lane County-OR-1617,"Lane County, OR",1617,2016,2017,37,1081000,55,1147000,-18,-66000,Tillamook County,Tillamook County-Lane County-OR
1312,Tillamook County-Clark County-WA-1617,"Clark County, WA",1617,2016,2017,41,1553000,42,911000,-1,642000,Tillamook County,Tillamook County-Clark County-WA
1314,Umatilla County-Walla Walla County-WA-1617,"Walla Walla County, WA",1617,2016,2017,334,7106000,453,8809000,-119,-1703000,Umatilla County,Umatilla County-Walla Walla County-WA
1315,Umatilla County-Morrow County-OR-1617,"Morrow County, OR",1617,2016,2017,382,6768000,305,5721000,77,1047000,Umatilla County,Umatilla County-Morrow County-OR
1316,Umatilla County-Benton County-WA-1617,"Benton County, WA",1617,2016,2017,232,4215000,355,6943000,-123,-2728000,Umatilla County,Umatilla County-Benton County-WA
1317,Umatilla County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,141,3006000,71,1758000,70,1248000,Umatilla County,Umatilla County-Multnomah County-OR
1318,Umatilla County-Union County-OR-1617,"Union County, OR",1617,2016,2017,128,2886000,110,2057000,18,829000,Umatilla County,Umatilla County-Union County-OR
1319,Umatilla County-Washington County-OR-1617,"Washington County, OR",1617,2016,2017,105,2799000,73,2325000,32,474000,Umatilla County,Umatilla County-Washington County-OR
1320,Umatilla County-Marion County-OR-1617,"Marion County, OR",1617,2016,2017,108,2329000,88,2016000,20,313000,Umatilla County,Umatilla County-Marion County-OR
1321,Umatilla County-Clackamas County-OR-1617,"Clackamas County, OR",1617,2016,2017,79,1639000,73,2318000,6,-679000,Umatilla County,Umatilla County-Clackamas County-OR
1322,Umatilla County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,82,1575000,74,2762000,8,-1187000,Umatilla County,Umatilla County-Deschutes County-OR
1323,Umatilla County-Lane County-OR-1617,"Lane County, OR",1617,2016,2017,79,1342000,47,1180000,32,162000,Umatilla County,Umatilla County-Lane County-OR
1324,Umatilla County-Yakima County-WA-1617,"Yakima County, WA",1617,2016,2017,87,1143000,73,990000,14,153000,Umatilla County,Umatilla County-Yakima County-WA
1325,Umatilla County-Clark County-WA-1617,"Clark County, WA",1617,2016,2017,58,687000,41,680000,17,7000,Umatilla County,Umatilla County-Clark County-WA
1326,Umatilla County-Maricopa County-AZ-1617,"Maricopa County, AZ",1617,2016,2017,38,1235000,64,1804000,-26,-569000,Umatilla County,Umatilla County-Maricopa County-AZ
1327,Umatilla County-Franklin County-WA-1617,"Franklin County, WA",1617,2016,2017,65,1073000,139,2291000,-74,-1218000,Umatilla County,Umatilla County-Franklin County-WA
1328,Umatilla County-King County-WA-1617,"King County, WA",1617,2016,2017,39,1269000,40,965000,-1,304000,Umatilla County,Umatilla County-King County-WA
1329,Umatilla County-Linn County-OR-1617,"Linn County, OR",1617,2016,2017,39,999000,64,1425000,-25,-426000,Umatilla County,Umatilla County-Linn County-OR
1331,Union County-Umatilla County-OR-1617,"Umatilla County, OR",1617,2016,2017,110,2057000,128,2886000,-18,-829000,Union County,Union County-Umatilla County-OR
1332,Union County-Baker County-OR-1617,"Baker County, OR",1617,2016,2017,99,1466000,108,2374000,-9,-908000,Union County,Union County-Baker County-OR
1333,Union County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,47,1942000,45,1080000,2,862000,Union County,Union County-Multnomah County-OR
1334,Union County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,40,1159000,42,1129000,-2,30000,Union County,Union County-Deschutes County-OR
1335,Union County-Wallowa County-OR-1617,"Wallowa County, OR",1617,2016,2017,44,878000,56,1629000,-12,-751000,Union County,Union County-Wallowa County-OR
1336,Union County-Ada County-ID-1617,"Ada County, ID",1617,2016,2017,30,680000,58,1855000,-28,-1175000,Union County,Union County-Ada County-ID
1338,Wallowa County-Union County-OR-1617,"Union County, OR",1617,2016,2017,56,1629000,44,878000,12,751000,Wallowa County,Wallowa County-Union County-OR
1340,Wasco County-Hood River County-OR-1617,"Hood River County, OR",1617,2016,2017,362,8979000,191,3549000,171,5430000,Wasco County,Wasco County-Hood River County-OR
1341,Wasco County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,196,6199000,84,2093000,112,4106000,Wasco County,Wasco County-Multnomah County-OR
1342,Wasco County-Klickitat County-WA-1617,"Klickitat County, WA",1617,2016,2017,155,4816000,160,3937000,-5,879000,Wasco County,Wasco County-Klickitat County-WA
1343,Wasco County-Washington County-OR-1617,"Washington County, OR",1617,2016,2017,77,2863000,59,1865000,18,998000,Wasco County,Wasco County-Washington County-OR
1344,Wasco County-Clackamas County-OR-1617,"Clackamas County, OR",1617,2016,2017,82,2395000,68,1559000,14,836000,Wasco County,Wasco County-Clackamas County-OR
1345,Wasco County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,61,1534000,66,2009000,-5,-475000,Wasco County,Wasco County-Deschutes County-OR
1347,Washington County-Multnomah County-OR-1617,"Multnomah County, OR",1617,2016,2017,9957,418787000,8355,388877000,1602,29910000,Washington County,Washington County-Multnomah County-OR
1348,Washington County-Clackamas County-OR-1617,"Clackamas County, OR",1617,2016,2017,4385,181440000,5698,247004000,-1313,-65564000,Washington County,Washington County-Clackamas County-OR
1349,Washington County-Clark County-WA-1617,"Clark County, WA",1617,2016,2017,1668,44259000,2831,113265000,-1163,-69006000,Washington County,Washington County-Clark County-WA
1350,Washington County-Los Angeles County-CA-1617,"Los Angeles County, CA",1617,2016,2017,1071,40425000,475,15999000,596,24426000,Washington County,Washington County-Los Angeles County-CA
1351,Washington County-Yamhill County-OR-1617,"Yamhill County, OR",1617,2016,2017,1096,31828000,2719,90171000,-1623,-58343000,Washington County,Washington County-Yamhill County-OR
1352,Washington County-Marion County-OR-1617,"Marion County, OR",1617,2016,2017,1027,29767000,1868,48969000,-841,-19202000,Washington County,Washington County-Marion County-OR
1353,Washington County-King County-WA-1617,"King County, WA",1617,2016,2017,915,43414000,1077,59992000,-162,-16578000,Washington County,Washington County-King County-WA
1354,Washington County-Maricopa County-AZ-1617,"Maricopa County, AZ",1617,2016,2017,1045,37682000,1042,46765000,3,-9083000,Washington County,Washington County-Maricopa County-AZ
1355,Washington County-Lane County-OR-1617,"Lane County, OR",1617,2016,2017,665,20000000,608,19267000,57,733000,Washington County,Washington County-Lane County-OR
1356,Washington County-Santa Clara County-CA-1617,"Santa Clara County, CA",1617,2016,2017,920,55495000,629,47902000,291,7593000,Washington County,Washington County-Santa Clara County-CA
1357,Washington County-Orange County-CA-1617,"Orange County, CA",1617,2016,2017,712,26977000,301,11966000,411,15011000,Washington County,Washington County-Orange County-CA
1358,Washington County-San Diego County-CA-1617,"San Diego County, CA",1617,2016,2017,692,26667000,406,14139000,286,12528000,Washington County,Washington County-San Diego County-CA
1359,Washington County-Benton County-OR-1617,"Benton County, OR",1617,2016,2017,436,12159000,243,6925000,193,5234000,Washington County,Washington County-Benton County-OR
1360,Washington County-Columbia County-OR-1617,"Columbia County, OR",1617,2016,2017,477,13267000,1280,39843000,-803,-26576000,Washington County,Washington County-Columbia County-OR
1361,Washington County-Deschutes County-OR-1617,"Deschutes County, OR",1617,2016,2017,403,16782000,949,43055000,-546,-26273000,Washington County,Washington County-Deschutes County-OR
1362,Washington County-Clark County-NV-1617,"Clark County, NV",1617,2016,2017,424,14226000,352,10911000,72,3315000,Washington County,Washington County-Clark County-NV
1363,Washington County-Alameda County-CA-1617,"Alameda County, CA",1617,2016,2017,402,20296000,198,11927000,204,8369000,Washington County,Washington County-Alameda County-CA
1364,Washington County-Honolulu County-HI-1617,"Honolulu County, HI",1617,2016,2017,376,12756000,140,3745000,236,9011000,Washington County,Washington County-Honolulu County-HI
1365,Washington County-Riverside County-CA-1617,"Riverside County, CA",1617,2016,2017,310,8397000,192,6701000,118,1696000,Washington County,Washington County-Riverside County-CA
1366,Washington County-Jackson County-OR-1617,"Jackson County, OR",1617,2016,2017,259,7175000,310,7985000,-51,-810000,Washington County,Washington County-Jackson County-OR
1367,Washington County-Pierce County-WA-1617,"Pierce County, WA",1617,2016,2017,285,10974000,286,10931000,-1,43000,Washington County,Washington County-Pierce County-WA
1368,Washington County-Sacramento County-CA-1617,"Sacramento County, CA",1617,2016,2017,273,11502000,153,6555000,120,4947000,Washington County,Washington County-Sacramento County-CA
1369,Washington County-Polk County-OR-1617,"Polk County, OR",1617,2016,2017,248,7320000,408,10729000,-160,-3409000,Washington County,Washington County-Polk County-OR
1370,Washington County-Contra Costa County-CA-1617,"Contra Costa County, CA",1617,2016,2017,284,13124000,95,4654000,189,8470000,Washington County,Washington County-Contra Costa County-CA
1371,Washington County-Snohomish County-WA-1617,"Snohomish County, WA",1617,2016,2017,291,10674000,310,11019000,-19,-345000,Washington County,Washington County-Snohomish County-WA
1372,Washington County-Cook County-IL-1617,"Cook County, IL",1617,2016,2017,240,9757000,133,5992000,107,3765000,Washington County,Washington County-Cook County-IL
1373,Washington County-San Bernardino County-CA-1617,"San Bernardino County, CA",1617,2016,2017,262,7337000,93,2157000,169,5180000,Washington County,Washington County-San Bernardino County-CA
1374,Washington County-Linn County-OR-1617,"Linn County, OR",1617,2016,2017,201,5644000,257,8095000,-56,-2451000,Washington County,Washington County-Linn County-OR
1375,Washington County-Travis County-TX-1617,"Travis County, TX",1617,2016,2017,244,10265000,264,14241000,-20,-3976000,Washington County,Washington County-Travis County-TX
1376,Washington County-Clatsop County-OR-1617,"Clatsop County, OR",1617,2016,2017,192,4739000,303,11672000,-111,-6933000,Washington County,Washington County-Clatsop County-OR
1377,Washington County-San Mateo County-CA-1617,"San Mateo County, CA",1617,2016,2017,220,11037000,39,2378000,181,8659000,Washington County,Washington County-San Mateo County-CA
1378,Washington County-Ada County-ID-1617,"Ada County, ID",1617,2016,2017,221,7224000,457,16070000,-236,-8846000,Washington County,Washington County-Ada County-ID
1379,Washington County-Salt Lake County-UT-1617,"Salt Lake County, UT",1617,2016,2017,228,6531000,176,5697000,52,834000,Washington County,Washington County-Salt Lake County-UT
1380,Washington County-Thurston County-WA-1617,"Thurston County, WA",1617,2016,2017,217,10441000,170,5344000,47,5097000,Washington County,Washington County-Thurston County-WA
1381,Washington County-San Francisco County-CA-1617,"San Francisco County, CA",1617,2016,2017,159,11601000,62,4063000,97,7538000,Washington County,Washington County-San Francisco County-CA
1382,Washington County-Hennepin County-MN-1617,"Hennepin County, MN",1617,2016,2017,151,6649000,93,7000000,58,-351000,Washington County,Washington County-Hennepin County-MN
1383,Washington County-Harris County-TX-1617,"Harris County, TX",1617,2016,2017,157,8052000,162,4647000,-5,3405000,Washington County,Washington County-Harris County-TX
1384,Washington County-Bernalillo County-NM-1617,"Bernalillo County, NM",1617,2016,2017,171,7424000,59,2393000,112,5031000,Washington County,Washington County-Bernalillo County-NM
1385,Washington County-Dallas County-TX-1617,"Dallas County, TX",1617,2016,2017,153,5456000,129,5057000,24,399000,Washington County,Washington County-Dallas County-TX
1386,Washington County-Ventura County-CA-1617,"Ventura County, CA",1617,2016,2017,144,5383000,74,2676000,70,2707000,Washington County,Washington County-Ventura County-CA
1387,Washington County-Bexar County-TX-1617,"Bexar County, TX",1617,2016,2017,150,5142000,98,2714000,52,2428000,Washington County,Washington County-Bexar County-TX
1388,Washington County-Spokane County-WA-1617,"Spokane County, WA",1617,2016,2017,148,5581000,353,9890000,-205,-4309000,Washington County,Washington County-Spokane County-WA
1389,Washington County-Lincoln County-OR-1617,"Lincoln County, OR",1617,2016,2017,110,3095000,241,9971000,-131,-6876000,Washington County,Washington County-Lincoln County-OR
1390,Washington County-Pima County-AZ-1617,"Pima County, AZ",1617,2016,2017,112,3839000,146,5694000,-34,-1855000,Washington County,Washington County-Pima County-AZ
1391,Washington County-Tillamook County-OR-1617,"Tillamook County, OR",1617,2016,2017,107,3240000,246,8137000,-139,-4897000,Washington County,Washington County-Tillamook County-OR
1392,Washington County-Utah County-UT-1617,"Utah County, UT",1617,2016,2017,170,3691000,202,5237000,-32,-1546000,Washington County,Washington County-Utah County-UT
1393,Washington County-Cowlitz County-WA-1617,"Cowlitz County, WA",1617,2016,2017,131,2893000,268,6854000,-137,-3961000,Washington County,Washington County-Cowlitz County-WA
1394,Washington County-Douglas County-OR-1617,"Douglas County, OR",1617,2016,2017,111,2208000,155,5136000,-44,-2928000,Washington County,Washington County-Douglas County-OR
1395,Washington County-Kitsap County-WA-1617,"Kitsap County, WA",1617,2016,2017,136,3776000,91,3967000,45,-191000,Washington County,Washington County-Kitsap County-WA
1396,Washington County-Santa Barbara County-CA-1617,"Santa Barbara County, CA",1617,2016,2017,102,3868000,32,952000,70,2916000,Washington County,Washington County-Santa Barbara County-CA
1397,Washington County-Klamath County-OR-1617,"Klamath County, OR",1617,2016,2017,109,2523000,82,2227000,27,296000,Washington County,Washington County-Klamath County-OR
1398,Washington County-Anchorage Municipality-AK-1617,"Anchorage Municipality, AK",1617,2016,2017,113,3236000,37,869000,76,2367000,Washington County,Washington County-Anchorage Municipality-AK
1399,Washington County-Wake County-NC-1617,"Wake County, NC",1617,2016,2017,90,3866000,132,6080000,-42,-2214000,Washington County,Washington County-Wake County-NC
1400,Washington County-Denver County-CO-1617,"Denver County, CO",1617,2016,2017,99,7402000,84,4025000,15,3377000,Washington County,Washington County-Denver County-CO
1401,Washington County-Sonoma County-CA-1617,"Sonoma County, CA",1617,2016,2017,95,3235000,33,1223000,62,2012000,Washington County,Washington County-Sonoma County-CA
1402,Washington County-Middlesex County-MA-1617,"Middlesex County, MA",1617,2016,2017,97,5128000,113,7703000,-16,-2575000,Washington County,Washington County-Middlesex County-MA
1403,Washington County-Yakima County-WA-1617,"Yakima County, WA",1617,2016,2017,88,2656000,77,1713000,11,943000,Washington County,Washington County-Yakima County-WA
1404,Washington County-Collin County-TX-1617,"Collin County, TX",1617,2016,2017,110,6445000,181,6958000,-71,-513000,Washington County,Washington County-Collin County-TX
1405,Washington County-Franklin County-OH-1617,"Franklin County, OH",1617,2016,2017,80,2514000,63,1883000,17,631000,Washington County,Washington County-Franklin County-OH
1406,Washington County-Fairfax County-VA-1617,"Fairfax County, VA",1617,2016,2017,95,4709000,55,2037000,40,2672000,Washington County,Washington County-Fairfax County-VA
